n,Loop A (ns),Loop C (ns)
529,1810692,55544038
530,1991464,57791618
531,2095028,57742028
532,2136203,56932673
533,1907621,57604422
534,1868998,57746909
535,1945291,57839841
536,1951709,58867657
537,2075654,59242511
538,1897081,59752424
539,1866730,62254427
540,1983246,67044405
541,1900518,65102622
542,2114622,66130113
543,2214361,62953409
544,1878115,61591319
545,1827159,64541910
546,2027683,64966072
547,1921942,66364632
548,2018342,70635311
549,1962046,63808533
550,1900282,63762745
551,2108023,63852853
552,1895663,68418483
553,1968651,70737525
554,2245625,70035736
555,2220099,66464529
556,2091634,66051045
557,2128340,79494431
558,2147653,69113790
559,2127671,84588770
560,2335471,70437034
561,2014588,70331025
562,2270733,69172674
563,1986251,70176028
564,2213440,76111003
565,2137385,73111575
566,2086290,71835424
567,2042745,87239180
568,2339217,80617868
569,2400111,78311318
570,2256881,85425189
571,2133803,81630115
572,2067657,71228100
573,1968976,72866704
574,2022894,78551502
575,2054194,74507312
576,2052023,74567676
577,2138673,73024867
578,2060630,73039649
579,2182210,73461376
580,2029117,76564740
581,2100530,88842269
582,2077356,76951207
583,2052187,76301106
584,2153809,75932951
585,2096480,77341871
586,2054139,77376648
587,2101206,76919480
588,2205807,77712507
589,2209656,83685087
590,1997231,78551167
591,2020935,77618371
592,2035601,78870842
593,2308928,80007810
594,2043530,78939784
595,2095037,93152408
596,2235050,81953912
597,2086518,81982063
598,2127734,83151096
599,2052020,82696532
600,2087562,84423134
601,2134147,84515198
602,2110004,93900708
603,2741777,89402797
604,2109630,89492749
605,2074217,92834850
606,2318002,89332290
607,2160160,88662373
608,2146672,87297721
609,2138513,88741506
610,2130414,88649162
611,2164118,88229042
612,2152348,87200769
613,2150149,87919674
614,2123048,96885424
615,2084365,89751528
616,2449332,89601230
617,2121627,91344869
618,2206462,98009192
619,2179382,99452274
620,2166353,95739566
621,2175479,93706027
622,2278012,93098507
623,2237118,96327490
624,2188191,95062121
625,2138183,95374384
626,2101614,95095888
627,2353109,99435782
628,2182408,94821008
629,2232695,94699534
630,2162818,98996064
631,2318508,100569314
632,2329304,102323745
633,2236445,99492232
634,2360060,98163438
635,2462976,98268917
636,2379795,98789006
637,2403894,100186913
638,2300728,99760314
639,2363165,101726307
640,2372915,103046805
641,2543528,106125565
642,2266177,121566419
643,2245652,106882206
644,2404312,102738504
645,2265323,103611362
646,2268771,111942483
647,2764066,111265723
648,2549395,109141030
649,2395895,120433433
650,2257873,108699283
651,2368690,109555079
652,2560521,113382488
653,2691064,119358169
654,2505619,119148077
655,3178433,109054490
656,2422586,119348901
657,2276388,115542266
658,2283095,113998691
659,2544828,111948136
660,2319806,111891160
661,2466161,124838719
662,2438797,116608809
663,2470342,124260777
664,2300508,114786607
665,2598163,114752564
666,3252000,114787473
667,2312228,116474127
668,2394062,116117240
669,2306840,162664042
670,2447647,147031580
671,2386848,121010289
672,2889602,116828752
673,2373346,120366135
674,2507040,120293234
675,2330761,120984266
676,2713599,123041671
677,2653841,123139272
678,2517970,129316868
679,2648811,123489678
680,2569403,125105774
681,2516826,125284685
682,2691480,123128912
683,2637856,125851917
684,2528928,138179322
685,2457579,124465961
686,2385402,127489196
687,2551377,129990411
688,2820727,133503834
689,2435565,137853295
690,2963967,130483165
691,2616600,146183644
692,2664444,145506634
693,2749932,135178152
694,2773599,135145659
695,2423955,132822332
696,2671902,132936290
697,2415121,134308790
698,2704155,132757884
699,2449460,146687670
700,2422778,134870300
701,2721364,143641511
702,2577042,146851759
703,2767228,138367950
704,2634598,133630616
705,2703314,138231174
706,2510596,135694620
707,2662772,141991428
708,2487149,138224374
709,2448792,137364877
710,2541459,141407087
711,2528230,145511597
712,2849786,178139639
713,3459123,157303148
714,2506969,153114709
715,2875247,150578804
716,2620511,143209670
717,2808671,141244419
718,2912432,159696346
719,2770165,150233355
720,3341858,148187228
721,2676088,150017197
722,2590988,161569938
723,2755629,159338866
724,2694573,146508394
725,2762100,147525097
726,2684623,146520708
727,2794462,150265354
728,2621191,148330249
729,2636081,156589219
730,2668493,150670985
731,2533469,149974314
732,2694742,152972582
733,2631267,152060329
734,2894346,159006817
735,2780544,156971350
736,2839883,152615290
737,2538222,152822442
738,2561241,165289486
739,3521614,198040334
740,3041765,165654862
741,2926545,162981584
742,2859869,163245433
743,2666537,166056400
744,2672586,178544957
745,2871640,171712149
746,2802041,164266394
747,3092493,166634407
748,2879050,162438125
749,2849190,163248203
750,2696840,168130480
751,2923825,168245292
752,2844396,167959202
753,2707867,168624046
754,2675130,168130790
755,2867093,167006558
756,2950732,174238070
757,3097834,176234401
758,2741857,167554715
759,2871828,167201722
760,2780241,169366113
761,2803756,169500734
762,2704540,172807120
763,2799122,173809054
764,2910142,173241750
765,3138186,174804828
766,2852096,173337217
767,2771031,180818424
768,3141831,198378648
769,3073568,190575665
770,3384031,210504424
771,2899952,198211338
772,3046014,180284535
773,2824706,182855893
774,3069598,181688280
775,2765373,180493203
776,2734615,184031379
777,2670378,182532460
778,2996572,209925149
779,2779916,185246455
780,2905526,199929575
781,4648179,223860963
782,2879431,228434694
783,2689683,196580010
784,2819196,191129499
785,3136267,190638223
786,2880246,196079166
787,2951457,189227822
788,2692228,199462549
789,2942462,195572047
790,3028067,197947598
791,2781021,197653390
792,2921066,195968336
793,2907643,210881746
794,3009935,196123413
795,3123428,197198670
796,3230248,197488520
797,2878600,223228512
798,3191865,218859142
799,3157130,216161566
800,2972807,255686847
801,3199382,219328132
802,3012207,217310267
803,2848980,212642432
804,2939758,212893468
805,2902088,208013581
806,2781645,209615201
807,3008054,209528614
808,3159806,208822208
809,2873849,210399583
810,2937490,218064455
811,3037298,209716945
812,2863479,213755774
813,3124694,207775050
814,3040806,211715064
815,3050023,215446951
816,3597640,216375211
817,2960507,221251144
818,3109125,217511070
819,3050484,223680829
820,2908350,221018664
821,3027890,223297877
822,3010699,224425750
823,3040982,224690836
824,3179378,228497083
825,3434279,237485909
826,3079673,226465292
827,2919775,223721825
828,3132796,228550592
829,3134978,234810400
830,3012307,225799333
831,2990276,231165473
832,3224047,240839684
833,4076397,323360063
834,3348388,240463161
835,7410989,238588856
836,3330978,257689151
837,3472333,254352715
838,3297702,249378977
839,3142254,259229216
840,3471811,344081022
841,2990733,232793877
842,3226498,233402522
843,3098197,231854781
844,2975819,236445483
845,3086384,235841468
846,3400277,234594644
847,3293757,241004830
848,2920266,241568478
849,3599409,262524997
850,2975131,241044851
851,3197243,257696041
852,3552541,249219230
853,3009105,248075659
854,3271928,246227710
855,2953561,256099624
856,3519023,295710993
857,3780761,295605315
858,3429026,309492374
859,3113461,340376754
860,3460432,259680893
861,3234688,272193655
862,3287471,268013157
863,3254071,256722883
864,3336607,259186282
865,3051060,280288866
866,3102963,266017166
867,3245749,260711888
868,3439516,277624176
869,3367047,278240291
870,3469102,292368035
871,3221224,276591057
872,3333322,260704199
873,3089647,257854022
874,3334614,264438211
875,3696140,264193189
876,3623624,269170837
877,3583777,266523115
878,2971876,296629634
879,3056681,282857507
880,3301642,278837815
881,3294967,286087136
882,3406745,283234784
883,3740153,272931251
884,3567159,272619510
885,3121474,290001844
886,3533919,282254406
887,3301174,296400912
888,3362569,281473221
889,4079875,288110935
890,7095527,295398113
891,3303949,325279876
892,7955856,300670193
893,3085717,301243225
894,3094083,332858481
895,3354049,282234739
896,3489275,287855043
897,4432453,308008547
898,3653193,297144988
899,3523568,385403717
900,7589182,362814496
901,3614261,327827913
902,3189227,389235335
903,3444269,454573546
904,7324945,357234844
905,3134875,288244981
906,3141715,301036412
907,3485542,299892221
908,3225451,298585407
909,4373056,311979915
910,3196909,368381964
911,3327824,404475468
912,3136581,310396144
913,3574214,356455075
914,3518073,317081177
915,3756451,324764299
916,3153649,327756882
917,6100916,344123661
918,4231856,370934787
919,4245883,420115944
920,6573641,368256790
921,3699193,351234838
922,3903921,334260863
923,3457971,385917299
924,3170406,428535276
925,3619012,495286093
926,3442239,422134324
927,3170457,356685399
928,4298002,366707933
929,3760218,346252152
930,3633179,389337674
931,4740328,393529464
932,3814838,359214789
933,3846306,493035289
934,4209316,373019991
935,5016893,445536094
936,14293949,382613354
937,3409906,431274729
938,3517963,401308344
939,3603291,483412740
940,7170893,352201522
941,4074767,327093093
942,3355768,321898677
943,3852308,440800600
944,6812963,567219476
945,3844939,398102708
946,3560926,424000094
947,4299479,377597766
948,3539221,448921112
949,3691171,347033407
950,3899716,415979560
951,3588158,381377301
952,3437155,363598558
953,4015125,346135460
954,3795124,359668530
955,3387629,338932097
956,4057936,376369409
957,3506495,351434812
958,3783320,413926906
959,3737472,398364314
960,3799841,398794262
961,3910265,435548507
962,3559378,431094885
963,4051281,472535684
964,3626320,441899050
965,3765677,424692325
966,4661575,362452872
967,3908280,427945478
968,3410661,431107001
969,5124720,407594129
970,14190515,413415248
971,3670331,401364953
972,3675263,386251994
973,3547139,392301775
974,3517105,368858882
975,3364021,364398318
976,3492299,366664904
977,3474659,374198638
978,3547050,374570220
979,3543238,363383583
980,3576477,369350181
981,3779894,385937548
982,3722579,381260662
983,3642485,384424211
984,3472359,383182142
985,4360853,446394050
986,4283116,397880651
987,3439416,379474121
988,3430964,405332770
989,3867613,377305499
990,3521004,387104575
991,3602559,415435480
992,3451384,387957581
993,3532823,388069395
994,4512638,401336432
995,3644766,400406994
996,3662650,387745117
997,4250903,396285576
998,3513193,394543803
999,3800789,399516729
1000,3933506,395797472
