n,Loop A (ns),Loop B (ns)
908,3759076,334611
909,3793704,345934
910,3755960,337903
911,3946010,357480
912,3785514,356995
913,3773163,341290
914,3789280,341099
915,3999944,340909
916,3810800,341330
917,3784631,338066
918,3670077,335620
919,3647659,364926
920,3768351,338412
921,3869188,363252
922,4162901,409536
923,3879125,353828
924,3687859,422770
925,3722992,337075
926,3690863,343005
927,3766027,356301
928,3816331,363211
929,3800697,350963
930,3844746,352380
931,3809365,371512
932,3853914,353200
933,3815780,355928
934,3911005,360140
935,3936747,355818
936,3864889,379259
937,3947024,384803
938,3889176,359018
939,4308615,422031
940,4278809,381737
941,3818692,354356
942,3788995,349094
943,3786973,356499
944,3764685,352568
945,3742249,373723
946,3764919,371130
947,3780783,353180
948,3773249,353908
949,3811384,355030
950,3797638,366114
951,3839690,368699
952,3946948,371819
953,3897881,374165
954,4080070,371642
955,3940392,373304
956,3917304,372556
957,3941456,376623
958,3968836,374230
959,4119416,406032
960,4158496,383281
961,3959844,376612
962,3960914,382705
963,3844566,368414
964,3963766,366044
965,3840009,371064
966,3889154,367497
967,3887447,384934
968,3856190,368827
969,3880297,369694
970,3863178,374685
971,3910459,371067
972,3860261,371932
973,3943622,389225
974,3973030,387011
975,3991013,402034
976,3994539,388644
977,4036932,395503
978,4113096,389953
979,4015576,396070
980,4009852,392279
981,4041365,397338
982,4043863,392762
983,4073509,393891
984,4256603,414540
985,4496911,421835
986,4136994,387867
987,4078522,401977
988,3966030,399989
989,3935614,385040
990,3939755,385702
991,3973902,391200
992,3997005,387215
993,3948480,393186
994,3955639,389264
995,3990960,394630
996,4139055,420090
997,4266099,405294
998,4089790,410872
999,4237737,435371
1000,4093796,407588
1001,4100857,408543
1002,4143113,425723
1003,4199217,446346
1004,4609293,468111
1005,4376492,417205
1006,4228190,411937
1007,4031691,410693
1008,4084231,399999
1009,4041043,401101
1010,4041000,402527
1011,4084048,403951
1012,4097623,409756
1013,4435950,437598
1014,4053297,405573
1015,4544305,410814
1016,4672897,407580
1017,4204915,451624
1018,4187774,429267
1019,4230174,424329
1020,4209346,424563
1021,4183853,503636
1022,4272172,443220
1023,4187311,426868
1024,4192052,426412
1025,4535973,430095
1026,4546493,465409
1027,4185136,416200
1028,4137811,434000
1029,4113973,421448
1030,4108703,417557
1031,4131057,422864
1032,4088819,419124
1033,4139717,420340
1034,4126094,425701
1035,4164836,422172
1036,4123091,422416
1037,4167294,427437
1038,4232614,555515
1039,4273794,440697
1040,4252871,441227
1041,4294406,445642
1042,4337918,441636
1043,4283198,447522
1044,4286575,451009
1045,4288078,465513
1046,4548660,497359
1047,4425613,446030
1048,4244275,436849
1049,4189544,453571
1050,4192229,433934
1051,4176431,439225
1052,4205601,522392
1053,4201178,436388
1054,4220180,437326
1055,4276511,442606
1056,4234950,445466
1057,4205539,439906
1058,4242686,451963
1059,4293564,447096
1060,4280426,451395
1061,4296409,469979
1062,4338010,456193
1063,4297887,460630
1064,4300066,481309
1065,4468193,482946
1066,4991823,511277
1067,4616474,477164
1068,4565579,453045
1069,4359644,451640
1070,4338145,451414
1071,4307598,456302
1072,4352093,457041
1073,4308847,480542
1074,4340853,461404
1075,4373194,463551
1076,4322118,463423
1077,4517680,542995
1078,4366285,468090
1079,4320202,467004
1080,4326086,493449
1081,4351740,484729
1082,4366820,469359
1083,4330762,468071
1084,4342559,463123
1085,4368371,483088
1086,4474449,464722
1087,4380812,480480
1088,4344474,483350
1089,4386436,496751
1090,4583535,489255
1091,4519729,476141
1092,4398530,476862
1093,4372170,519918
1094,4402349,480112
1095,4349221,475912
1096,4366344,478076
1097,4353711,571695
1098,4416614,480945
1099,4412222,488051
1100,4443528,484971
1101,4458267,510746
1102,4434104,485003
1103,4690023,485090
1104,4785412,554843
1105,4592432,495593
1106,4747778,505670
1107,4512480,510626
1108,4587567,512850
1109,4576257,487311
1110,4462977,489366
1111,4447185,486623
1112,4506767,496836
1113,4523590,501029
1114,4487773,511806
1115,4529171,509740
1116,4566309,490472
1117,4481167,491222
1118,4594888,497209
1119,4536597,505667
1120,4601342,508564
1121,4619850,517935
1122,5227229,545692
1123,4797110,541022
1124,4665798,515503
1125,4764500,509442
1126,4675652,537943
1127,4525980,506309
1128,4670948,508900
1129,4511555,517722
1130,4612818,503790
1131,4539743,512057
1132,4543916,511297
1133,4529956,521875
1134,4565188,519132
1135,4529823,507419
1136,4607787,511495
1137,4581830,519716
1138,4568862,522009
1139,4578252,534512
1140,4672942,519128
1141,4656096,517703
1142,4600212,614468
1143,4621446,534803
1144,4861119,572558
1145,5065625,546426
1146,4700734,521450
1147,4618191,525266
1148,4648276,577299
1149,4681498,615631
1150,4737257,526664
1151,4688754,527784
1152,4862836,523214
1153,4625426,523825
1154,4728334,525506
1155,4650137,531183
1156,4637518,578810
1157,4671643,635889
1158,4806524,703608
1159,4855214,536866
1160,4935260,588197
1161,5036016,661166
1162,4972186,550233
1163,4916807,546089
1164,4684709,540997
1165,4844956,544141
1166,4673034,555763
1167,4685685,550629
1168,4842780,643336
1169,5037815,543286
1170,4819720,547750
1171,4734916,608865
1172,4893639,638193
1173,4722565,559902
1174,4954202,550736
1175,4839939,555806
1176,4754361,574201
1177,4819475,556030
1178,4812952,576040
1179,5107690,697949
1180,5399742,612777
1181,4897567,578358
1182,4714436,555786
1183,4843888,626475
1184,4770577,560713
1185,4768521,564902
1186,4854381,556967
1187,4859789,574675
1188,4880431,562198
1189,4780296,569205
1190,4783686,566025
1191,4777741,584548
1192,4841590,567118
1193,4902886,575260
1194,4933338,571426
1195,5586288,593007
1196,5094828,592927
1197,5775776,717652
1198,5294666,582981
1199,5038885,571352
1200,4950581,602623
1201,4947120,703887
1202,4978864,594527
1203,5008822,594939
1204,4927616,578221
1205,4919112,582986
1206,4858445,577237
1207,4827171,741954
1208,4944090,578572
1209,5002171,600478
1210,4915140,634564
1211,4969678,640765
1212,5053133,631446
1213,5481194,648548
1214,5052727,606712
1215,5304896,623261
1216,5065185,593447
1217,4946898,612424
1218,4899077,594024
1219,4864108,599930
1220,5022403,596133
1221,5444271,593714
1222,4931896,596411
1223,4895646,595434
1224,4898502,614656
1225,5053283,691492
1226,5048743,636105
1227,5112144,623741
1228,5043284,624169
1229,5073407,621534
1230,5127896,678842
1231,5675843,709189
1232,5140800,625939
1233,5099988,626753
1234,4896083,603664
1235,4953882,659396
1236,5501584,680525
1237,5432584,615669
1238,5145864,690991
1239,5041414,621380
1240,5175685,722874
1241,5123729,616645
1242,5056095,608833
1243,5067393,687150
1244,5087286,626737
1245,5224898,644466
1246,5014031,645379
1247,5290605,622162
1248,5322433,732277
1249,5112214,624194
1250,5020181,648392
1251,5065280,622526
1252,5146184,627839
1253,5052029,629805
1254,5088882,650509
1255,5298176,628935
1256,5039698,630909
1257,5018577,700934
1258,5111667,643997
