n,Loop A (ns),Loop B (ns)
492,1819800,97700
493,2103800,88200
494,1843300,90200
495,1944000,92000
496,5603400,91000
497,3431500,198100
498,1929700,79500
499,1768900,90000
500,2237000,106500
501,2079900,98500
502,1743400,80400
503,1753000,82200
504,1802200,93400
505,1763200,91000
506,1778100,83400
507,1830200,251900
508,2884500,96200
509,2029800,97700
510,1890400,94800
511,1855500,108500
512,1917900,89100
513,1873300,111200
514,1870500,97300
515,1927200,102000
516,2050400,97100
517,1948000,97600
518,1943700,96800
519,1880700,96800
520,1880800,97500
521,1884700,86200
522,1806800,87700
523,2194400,120100
524,2079900,131700
525,1959600,104300
526,1917100,103800
527,1933100,101400
528,1920300,100900
529,1921000,102000
530,2117000,146700
531,2144900,108200
532,2031800,105400
533,1968900,103800
534,1929600,102300
535,1943600,103300
536,1936600,102500
537,1943300,272800
538,2295200,162500
539,1996800,104300
540,1933800,92600
541,1985500,104700
542,1971300,107100
543,1987900,105000
544,1973100,135700
545,2532200,230900
546,2141400,130400
547,2054900,108200
548,2024800,107400
549,1998100,107400
550,2012400,108500
551,2158800,126500
552,2273000,111900
553,2044900,115500
554,2021500,117600
555,2002900,99300
556,1924000,109900
557,1915700,110200
558,2155100,114400
559,2162100,114700
560,2015700,110600
561,2031200,113400
562,2038800,118400
563,2030900,112900
564,2035100,112500
565,2045800,123400
566,2029800,121100
567,2165600,114100
568,2015100,111200
569,1977200,113400
570,2010400,107100
571,2094600,123600
572,2366200,118600
573,2077400,114800
574,2338700,118700
575,1990900,114700
576,2000200,115100
577,2149800,136200
578,2319900,119600
579,2109200,118100
580,2093800,126400
581,2317400,125300
582,2162900,119200
583,2100200,125700
584,2271000,124600
585,2243800,124900
586,2189300,119400
587,2161600,131600
588,2315000,128200
589,2214100,126100
590,2260600,141600
591,2454100,129000
592,2289000,144900
593,2303600,129500
594,2337200,161200
595,2350700,140400
596,2101900,123300
597,2233100,127700
598,2207100,129800
599,2252900,130000
600,2148700,131000
601,2398300,135300
602,2336300,132900
603,2547000,143200
604,2225000,134700
605,2234800,159500
606,2340500,155000
607,2450500,194300
608,2470800,134500
609,2380500,139600
610,2223800,141700
611,2350500,139200
612,2298600,152500
613,2222000,155700
614,2286000,149500
615,2506100,138100
616,2296100,133600
617,2239700,140300
618,2262700,147300
619,2266000,133600
620,2344600,136500
621,2479500,212700
622,2480400,139800
623,2384500,132700
624,2160600,132100
625,2190900,143700
626,2331900,145800
627,2559500,136400
628,2218700,137400
629,2284000,140900
630,2170200,140000
631,2231700,156400
632,2270800,147500
633,2390100,148600
634,2475700,146000
635,2353700,149700
636,2294700,146200
637,2295700,149800
638,2294900,146200
639,2340800,147500
640,2369000,148500
641,2327800,147700
642,2330400,153900
643,2321000,148800
644,2336700,150400
645,2334700,152100
646,2492000,150400
647,2359900,158600
648,2385900,152300
649,2358500,157700
650,2364800,151000
651,2382300,155100
652,2455900,153700
653,2383100,155700
654,2369700,152700
655,2368800,152600
656,2608600,171500
657,2429600,154700
658,2419500,159500
659,2377700,155900
660,2386900,155600
661,2521600,151500
662,2455700,151300
663,2541000,173600
664,2725500,171200
665,2553700,166000
666,2645700,162100
667,2497300,165600
668,2430200,158600
669,2435400,188000
670,2518600,162900
671,2487700,165900
672,2587300,167400
673,2460100,161900
674,2463900,163200
675,2550300,181700
676,2798300,173300
677,2608600,170300
678,2478400,173100
679,2452600,169700
680,2449200,163500
681,2626100,175900
682,2599200,177600
683,2507500,159100
684,2586300,160400
685,2516400,177900
686,2547800,166200
687,2598600,178000
688,2657100,170700
689,2725400,170900
690,2696900,163700
691,2447500,163500
692,3032400,178500
693,2592900,192100
694,2970000,198300
695,3149400,4304500
696,3402300,177600
697,2640000,192500
698,2677100,165500
699,2674900,169700
700,2886500,170200
701,2874500,174900
702,2562300,171000
703,3941400,200400
704,2952700,177500
705,2882300,175700
706,5294000,181400
707,2877500,194900
708,2546400,182800
709,2842500,207000
710,2669900,171400
711,2491900,169400
712,2734200,204500
713,2667200,187400
714,2743600,194200
715,2701600,179300
716,2642200,175600
717,2606100,186400
718,2802400,188400
719,2638800,200600
720,2675300,187200
721,2590900,191500
722,2609100,191400
723,2685000,191100
724,2684100,184700
725,2897600,226500
726,2880500,204800
727,2652200,188700
728,2645300,198900
729,2665100,191600
730,2727600,219500
731,2642100,196300
732,2710700,193900
733,2670900,187000
734,2650200,192800
735,2718500,194000
736,2755800,203600
737,2666600,194600
738,2665600,195200
739,2668000,190700
740,2657700,208400
741,2739800,189700
742,2598100,186100
743,2644000,191500
744,2680600,197900
745,2743600,198700
746,2841000,251800
747,2941400,269200
748,2928700,198100
749,3265600,194600
750,3003400,204200
751,3272500,238600
752,2901200,204000
753,2834200,210500
754,2825200,217600
755,2949100,229400
756,2995500,196200
757,2929300,235600
758,3225400,286600
759,3023600,214000
760,2966500,265200
761,3277800,225100
762,2910000,238400
763,3005300,209700
764,2826500,216100
765,2922200,218200
766,2849200,211200
767,2985100,235500
768,2923200,218700
769,2979900,229100
770,2961100,247400
771,2992500,212000
772,2873900,211900
773,2894500,212300
774,2878900,215300
775,2948700,213400
776,2882200,237700
777,3211300,220900
778,2868300,230900
779,2971200,221100
780,2981900,215500
781,2850700,241100
782,2834600,224100
783,2844600,219200
784,2818600,216600
785,2973700,217800
786,2823900,217800
787,2851900,224500
788,2824300,225000
789,2830000,225300
790,3069800,228400
791,2915600,222600
792,2908000,229400
793,2873900,236400
794,2877600,224300
795,2923900,222500
796,2809300,231400
797,2934900,232100
798,2874100,223800
799,2913900,262000
800,3062300,218500
801,2898400,224800
802,2926900,229500
803,3125800,266600
804,3133600,226600
805,3154600,281900
806,2931300,227000
807,2963600,228500
808,2897600,235100
809,2983200,238400
810,2959200,236800
811,2924300,237000
812,2910100,242100
813,2985400,239900
814,3335600,242400
815,2991600,280600
816,2923200,219700
817,3030200,247100
818,3328600,316100
819,3234300,256600
820,3038900,235400
821,2919000,228600
822,3108600,352100
823,3509400,250500
824,2984200,236200
825,2876400,236900
826,2950000,236900
827,3200400,289200
828,3436100,289100
829,3014000,231500
830,2949800,226300
831,2830300,232600
832,3605300,329100
833,3551300,241700
834,3096200,242500
835,2908000,244500
836,2912400,252400
837,3552100,271400
838,2945000,236900
839,2941800,236400
840,2894000,237500
841,3056000,251400
842,3715000,246300
843,3013200,246000
844,2953200,245900
845,2999200,249900
846,3095200,338900
847,3702500,248200
848,2959700,248100
849,2961800,293700
850,3927500,249800
851,3840700,472700
852,4101200,265800
853,3351000,251300
854,3299100,251700
855,4006600,295600
856,3604900,310200
857,3791100,301200
858,3245800,276700
859,3692800,270000
860,3416400,401400
861,3245500,256200
862,3084400,255500
863,3141200,259700
864,3701700,409000
865,3548000,250300
866,2988900,257800
867,3233700,348500
868,4232300,303700
869,3664700,405600
870,3811600,329500
871,3523400,322200
872,3776500,370900
873,4004200,365700
874,4019200,281500
875,3770700,399000
876,3783500,366700
877,3606300,319800
878,3814600,319400
879,3688800,385000
880,4117200,330400
881,3929100,287800
882,3801600,420400
883,4670300,343200
884,4061800,336800
885,3458900,283300
886,3683100,394700
887,4081700,371800
888,4078900,529400
889,3371900,295500
890,3386700,316500
891,3550700,274600
892,4042600,312900
893,4097900,283900
894,3322600,315100
895,3121800,273800
896,3630000,273100
897,3230700,264300
898,3430000,280800
899,3300100,293500
900,3348100,278600
901,3304900,257800
902,3072700,258100
903,3144400,286000
904,3458900,304800
905,3514600,313600
906,3425100,286300
907,3272900,285300
908,3628200,311000
909,3681700,294100
910,3739900,321000
911,3489100,292700
912,3723200,453000
913,3812800,325700
914,3477000,290200
915,3429100,290100
916,3771700,336300
917,4221000,293300
918,3470700,291900
919,3308800,327500
920,3423400,404400
921,3906900,314000
922,3648000,294300
923,3389000,328300
924,4084100,378000
925,3893700,320600
926,3616900,298800
927,3960600,298200
928,4341900,389800
929,3951000,299300
930,3475300,298000
931,3343900,343500
932,3425500,330900
933,3547000,331400
934,3481100,284500
935,3861100,413800
936,4449000,428300
937,3728900,352800
938,3337600,302700
939,3500900,313500
940,3984500,296600
941,3578400,296100
942,3184200,296700
943,3596900,315700
944,3579700,328800
945,3280700,296000
946,3244600,305200
947,3481000,313200
948,3880300,390400
949,3604100,350600
950,3467200,348800
951,3600100,368800
952,3503400,317500
953,3804200,393500
954,3677900,312000
955,3410700,315100
956,3633800,316200
957,3633900,322300
958,3341300,314400
959,3487200,590200
960,3970000,329400
961,4140800,325000
962,3500700,322800
963,3735900,391000
964,3558100,333900
965,4061900,321800
966,3796700,310900
967,4166700,349100
968,3479400,329200
969,3840500,327800
970,4095300,328200
971,3705800,333700
972,3491400,330100
973,4022800,407500
974,4184300,610700
975,4391400,352000
976,3578900,433300
977,3834800,332500
978,3956300,376900
979,3837800,336100
980,3816400,423300
981,4461400,385800
982,3652200,347400
983,3576100,335500
984,3873900,439000
985,3805400,347700
986,3970900,381100
987,4319200,575400
988,4629900,525600
989,4371100,424600
990,4013800,350600
991,4039800,427500
992,3894000,340900
993,3473200,343200
994,3958300,407600
995,3765300,408800
996,4212300,333500
997,3436600,343800
998,3479900,344300
999,3941100,452600
1000,4185400,396200
